host,port,product,version,cve,source
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-38169,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-38169,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21713,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21713,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21705,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21705,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2021-1636,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2021-1636,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-36785,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-36785,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-36730,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-36730,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-36420,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-36420,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-36417,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-36417,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-32028,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-32028,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-32027,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-32027,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-32026,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-32026,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-32025,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-32025,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-29356,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-29356,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-29349,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-29349,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21718,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21718,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21704,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21704,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21528,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2023-21528,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2022-23276,vulners
192.168.100.90,1433,Microsoft SQL Server 2022,16.00.1000,CVE-2022-23276,vulners
