Fecha,IP,Tipo de Ataque,Detalle,Accion Tomada
2025-08-26 19:52:38,192.168.100.16,Escaneo de puertos,Intento de conexión a 11 puertos,Monitoreo activado
2025-08-26 19:52:39,192.168.100.16,Escaneo de puertos,Intento de conexión a 12 puertos,Monitoreo activado
2025-08-26 19:52:40,192.168.100.16,Escaneo de puertos,Intento de conexión a 13 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 14 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 15 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 16 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 17 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 18 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 19 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 20 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 21 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 21 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 22 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 23 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 24 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 25 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 26 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 27 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 28 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 29 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 30 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 31 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 32 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 33 puertos,Monitoreo activado
2025-08-26 19:52:43,192.168.100.16,Escaneo de puertos,Intento de conexión a 34 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 34 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 35 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 36 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 37 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 38 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 39 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 40 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 41 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 42 puertos,Monitoreo activado
2025-08-26 19:52:44,192.168.100.16,Escaneo de puertos,Intento de conexión a 43 puertos,Monitoreo activado
